epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.9322,3.18993,4.59883,4.21095,0.87066,0.01824,0.00825,0.00184,2.97519,3.86849,4.1522,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852,0.00995556,0.00331852
2,101.092,2.95531,4.2292,3.77932,0.35979,0.09131,0.04359,0.01269,2.63969,3.85677,3.44623,0.0198568,0.00661893,0.0198568,0.00661893,0.0198568,0.00661893,0.0198568,0.00661893
3,144.645,2.38219,3.73759,3.06004,0.46124,0.09166,0.01727,0.00506,2.57457,4.33124,3.27282,0.029659,0.00988633,0.029659,0.00988633,0.029659,0.00988633,0.029659,0.00988633
4,187.451,1.95781,3.25246,2.52589,0.26635,0.25146,0.21982,0.09146,2.00647,2.9678,2.66663,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,225.522,1.77675,2.87353,2.285,0.2521,0.30533,0.25493,0.13841,1.79515,2.68086,2.40377,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,263.288,1.66387,2.63032,2.16275,0.3993,0.38013,0.3564,0.17136,1.90243,2.32287,2.44491,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,301.015,1.60917,2.44939,2.07783,0.33986,0.33962,0.27909,0.15146,1.90642,2.67063,2.5215,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,338.027,1.57375,2.35709,2.0379,0.53824,0.49617,0.51949,0.26737,1.65652,2.01606,2.15198,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,375.034,1.53083,2.24014,1.99738,0.5969,0.52739,0.55224,0.29375,1.59046,1.8497,2.03686,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,413.203,1.48896,2.11681,1.93531,0.65038,0.49145,0.54461,0.30625,1.54117,1.84107,2.00924,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,449.722,1.44602,2.04601,1.89053,0.62112,0.50765,0.5673,0.30817,1.56087,1.80214,2.02518,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,485.7,1.42933,2.0004,1.87879,0.5363,0.43863,0.45545,0.25009,1.66199,2.14073,2.14544,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,523.289,1.40406,1.906,1.84767,0.68083,0.60174,0.66306,0.37715,1.45046,1.52752,1.89536,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,560.684,1.41706,1.89281,1.84296,0.67039,0.57152,0.64169,0.35575,1.53142,1.66696,1.95366,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,598.026,1.37712,1.85452,1.81535,0.72623,0.60458,0.69233,0.39623,1.44851,1.49799,1.88784,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,635.569,1.36968,1.81744,1.79718,0.70384,0.60197,0.68023,0.38714,1.4788,1.51092,1.87388,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,672.488,1.33985,1.76136,1.76172,0.71761,0.64466,0.70874,0.42239,1.39982,1.40623,1.80259,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
